ux,uy,uz,Ts,CO2,H2O
  0.027500, -1.826250,  0.447750,  9.449476, 16.870000,418.400000
 -0.456250, -1.696250,  0.738250,  9.660802, 16.860000,418.900000
 -0.430500, -2.100500,  0.791750,  9.665871, 16.870000,417.000000
 -0.450000, -2.232250,  0.575250,  9.665871, 16.870000,416.400000
 -0.512250, -2.223000,  0.414000,  9.424294, 16.870000,417.400000
 -0.566250, -2.306250,  0.479250,  9.633972, 16.860000,419.100000
 -0.891000, -2.194000,  0.524000,  9.679286, 16.860000,418.600000
 -0.871500, -1.946250,  0.630250,  9.726242, 16.860000,419.400000
 -0.845750, -2.013750,  0.555250,  9.696081, 16.860000,419.900000
 -1.214250, -2.199000,  0.573250,  9.868928, 16.840000,419.900000
 -1.006500, -2.506000,  0.429250,  9.931011, 16.830000,419.400000
 -1.276750, -2.622000,  0.609750,  9.917590, 16.830000,419.400000
 -1.328750, -2.725250,  0.806500, 10.018310, 16.840000,419.900000
 -1.314000, -2.509500,  0.711500,  9.939413, 16.830000,420.000000
 -1.444750, -2.814250,  0.568250,  9.731312, 16.830000,418.900000
 -1.525000, -2.804000,  0.561250,  9.768235, 16.850000,419.500000
 -1.413750, -2.846750,  0.517000,  9.732951, 16.850000,420.100000
 -1.424250, -2.710000,  0.563750,  9.754766, 16.850000,420.400000
 -1.428250, -2.638000,  0.457000,  9.790052, 16.860000,420.600000
 -1.174250, -2.539000,  0.398000,  9.595368, 16.860000,420.700000
 -1.467000, -2.528250,  0.360750,  9.484692, 16.870000,418.800000
 -1.640500, -2.951250,  0.124750,  9.006861, 16.910000,414.000000
 -1.885250, -2.886750,  0.024500,  8.976687, 16.920000,411.600000
 -1.784750, -3.095000,  0.349000,  8.954902, 16.930000,409.700000
 -1.901000, -3.133500,  0.248250,  8.909645, 16.930000,410.500000
 -1.964000, -3.134250,  0.154500,  8.902946, 16.930000,410.000000
 -2.101000, -3.093000,  0.227000,  8.964976, 16.930000,409.300000
 -2.098750, -2.740000,  0.439500,  8.958277, 16.930000,410.800000
 -2.258250, -2.851750,  0.459250,  8.889550, 16.930000,410.900000
 -2.177750, -3.499500,  0.309750,  8.780647, 16.930000,410.500000
 -2.180250, -3.326750,  0.127500,  8.810811, 16.940000,408.500000
 -1.968250, -3.400750,  0.035000,  8.799103, 16.940000,408.400000
 -1.891000, -3.334500,  0.033000,  8.800739, 16.940000,408.200000
 -1.884000, -3.290750, -0.056000,  8.807437, 16.950000,407.600000
 -2.117750, -3.363000, -0.264000,  8.688532, 16.940000,407.300000
 -2.005500, -3.795250,  0.067500,  8.680149, 16.960000,406.400000
 -2.100500, -3.569000,  0.137750,  8.646670, 16.960000,405.700000
 -2.573750, -3.366500,  0.298000,  8.695228, 16.960000,405.400000
 -2.595500, -3.400000, -0.048750,  8.690218, 16.960000,405.500000
 -2.035000, -3.171000, -0.140250,  8.663383, 16.950000,405.600000
 -2.431000, -3.612250, -0.583750,  8.571287, 16.960000,405.600000
 -2.250000, -3.724750, -0.210250,  8.616515, 16.950000,405.800000
 -2.165250, -3.690750, -0.213750,  8.616515, 16.960000,405.300000
 -2.260500, -3.571500, -0.118000,  8.599752, 16.960000,404.800000
 -2.138750, -3.570500, -0.080500,  8.618202, 16.960000,404.700000
 -2.110000, -3.435250, -0.090000,  8.628220, 16.960000,404.000000
